"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","0.624","0.624","0.624","0.624","0.7003","0.7759","0.6749","0.5974","0.5624","0.6379","0.766","0.8544","0.8394","0.669","0.7217","0.7287","0.6699","0.6563","0.7476","0.6887","0.7038","0.6818","0.6432","0.7527","0.6921","0.5858","0.8806","0.8214","0.8138","0.8197","0.8608","0.9207","0.9428","0.7281","0.9752","0.8601","0.9882","0.9633","0.937","0.9713","1.1917","1.2226","1.3183","1.7751","1.9703","1.8027","2.2319","2.0331","1.9691","1.8839","2.2254","2.6219","2.6826","2.7646","2.8442",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","0.0292","0.0292","0.0292","0.0292","0.04","0.0453","0.0506","0.0614","0.0589","0.0555","0.0613","0.0473","0.0628","0.0604","0.087","0.0877","0.0813","0.0887","0.0796","0.0798","0.0694","0.0685","0.0625","0.0629","0","0","0.0079","0.0079","0.0086","0.0079","0.0079","0.038","0.0327","0.0361","0.0409","0.0503","0","0","0","0","0","0","0.0629","0.0552","0.0845","0.117","0.163","0.3113","0.1613","0.1513","0.0648","0.0405","0.0531","0.0524","0.0518",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","0.0701","0.0701","0.0701","0.0701","0.0698","0.0806","0.0834","0.129","0.1061","0.1448","0.1804","0.2346","0.1537","0.2077","0.1965","0.2043","0.1066","0.087","0.1529","0.1497","0.1314","0.1164","0.1153","0.1312","0.1429","0.093","0.1312","0.1716","0.2222","0.2616","0.2423","0.3231","0.272","0.2624","0.2801","0.2551","0.3534","0.2741","0.3529","0.3096","0.6108","0.2471","0.4507","0.9263","0.6641","0.5897","0.7523","1.236","1.1091","1.1848","1.1904","1.6439","1.4155","1.4556","1.514",
"Angola","AGO","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","0.1133","0.1133","0.1133","0.1133","0.1136","0.1125","0.1278","0.1351","0.1696","0.168","0.163","0.1705","0.1678","0.1729","0.1776","0.1776","0.1776","0.1606","0.1691","0.193","0.1653","0.035","0.0233","0.0273","0.0315","0.0283","0.0154","0.0106","0.0388","0.0118","0.0166","0.0224","0.0517","0.0386","0.06","0.0103","0.0422","0.0418","0.0302","0.0267","0.0226","0.0302","0.0542","0.034","0.0535","0.0565","0.0474","0.0542","0.0465","0.0664","0.0606","0.0483","0.0607","0.062","0.0633",
"Andorra","AND","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","1.6891","1.6891","1.6891","1.6891","1.5848","1.6176","1.7862","1.7594","1.8591","2.3978","2.7017","2.393","2.4456","2.4308","2.6918","2.7863","3.3726","3.4139","3.4636","3.3574","3.4732","3.3936","3.3408","3.9284","3.5896","4.3986","4.2793","4.3319","4.3575","4.3868","4.7746","4.7666","4.9763","4.1435","4.8275","4.7857","4.4493","4.2779","3.9923","4.2275","4.1204","4.2761","3.8541","3.9962","4.0904","4.2252","4.7872","4.6697","4.9397","4.6115","4.1322","3.7838","4.017","3.9489","3.9359",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)","EN.GHG.CO2.AG.MT.CE.AR5","","","","","","","","","","","0.1043","0.1043","0.1043","0.1043","0.0872","0.0773","0.0701","0.1111","0.118","0.1378","0.1373","0.0943","0.0982","0.1156","0.1785","0.1792","0.159","0.1607","0.1745","0.1701","0.1751","0.1668","0.2572","0.2819","0.4687","0.5434","0.8232","0.787","0.6774","0.7335","0.7621","0.869","0.8453","1.1625","1.3602","1.0349","1.2444","1.3638","0.9172","0.8071","1.0345","1.1154","0.9247","1","1.1466","0.8923","1.3858","1.2784","1.5921","1.7031","1.9255","2.0714","1.9415","2.0385","2.1541",
