Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2000,2000,1000 ha,3291,A,Official figure,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2000,2000,%,100,A,Official figure,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2001,2001,1000 ha,3338,A,Official figure,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2001,2001,%,100,A,Official figure,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2002,2002,1000 ha,3422,X,Figure from external organization,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2002,2002,%,99.94,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2003,2003,1000 ha,3402,I,Value imputed by a receiving agency,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2003,2003,%,99.79,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2004,2004,1000 ha,3471,I,Value imputed by a receiving agency,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2004,2004,%,99.8,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2005,2005,1000 ha,3516,I,Value imputed by a receiving agency,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2005,2005,%,99.8,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2006,2006,1000 ha,3526,I,Value imputed by a receiving agency,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2006,2006,%,99.8,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2007,2007,1000 ha,3531,I,Value imputed by a receiving agency,
RL,Land Use,818,Egypt,7252,Share in Cropland,6690,Land area equipped for irrigation,2007,2007,%,99.8,E,Estimated value,
RL,Land Use,818,Egypt,5110,Area,6690,Land area equipped for irrigation,2008,2008,1000 ha,3535,I,Value imputed by a receiving agency,
