-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,22.5,25.625,0.06,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.32,5.72
PRECTOTCORR_SUM,2000,22.5,26.25,0.05,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.22,4.44
PRECTOTCORR_SUM,2000,22.5,26.875,0.08,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,3.15
PRECTOTCORR_SUM,2000,22.5,27.5,0.03,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.01,1.06
PRECTOTCORR_SUM,2000,22.5,28.125,0.02,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.8
PRECTOTCORR_SUM,2000,22.5,28.75,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.13
PRECTOTCORR_SUM,2000,22.5,29.375,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.14
PRECTOTCORR_SUM,2000,22.5,30.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
PRECTOTCORR_SUM,2000,22.5,30.625,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
PRECTOTCORR_SUM,2000,22.5,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
PRECTOTCORR_SUM,2000,22.5,31.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.05
PRECTOTCORR_SUM,2000,22.5,32.5,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.01,0.31
PRECTOTCORR_SUM,2000,22.5,33.125,0.1,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.05,0.03,0.36,0.01,0.7
PRECTOTCORR_SUM,2000,22.5,33.75,0.12,0.08,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.08,0.56,0.01,1.14
PRECTOTCORR_SUM,2000,23.0,25.625,0.04,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.27
PRECTOTCORR_SUM,2000,23.0,26.25,0.03,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2.78
PRECTOTCORR_SUM,2000,23.0,26.875,0.02,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.23
PRECTOTCORR_SUM,2000,23.0,27.5,0.02,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,1.6
PRECTOTCORR_SUM,2000,23.0,28.125,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,1.09
PRECTOTCORR_SUM,2000,23.0,28.75,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.15
PRECTOTCORR_SUM,2000,23.0,29.375,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
PRECTOTCORR_SUM,2000,23.0,30.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
PRECTOTCORR_SUM,2000,23.0,30.625,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
PRECTOTCORR_SUM,2000,23.0,31.25,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
PRECTOTCORR_SUM,2000,23.0,31.875,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04
PRECTOTCORR_SUM,2000,23.0,32.5,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.26
PRECTOTCORR_SUM,2000,23.0,33.125,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.04,0.33
PRECTOTCORR_SUM,2000,23.0,33.75,0.28,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.51
PRECTOTCORR_SUM,2000,23.5,25.625,0.08,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.71
PRECTOTCORR_SUM,2000,23.5,26.25,0.07,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.91
PRECTOTCORR_SUM,2000,23.5,26.875,0.02,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.91
PRECTOTCORR_SUM,2000,23.5,27.5,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.86
PRECTOTCORR_SUM,2000,23.5,28.125,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.39
PRECTOTCORR_SUM,2000,23.5,28.75,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
PRECTOTCORR_SUM,2000,23.5,29.375,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
PRECTOTCORR_SUM,2000,23.5,30.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
PRECTOTCORR_SUM,2000,23.5,30.625,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09
PRECTOTCORR_SUM,2000,23.5,31.25,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
PRECTOTCORR_SUM,2000,23.5,31.875,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
PRECTOTCORR_SUM,2000,23.5,32.5,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16
PRECTOTCORR_SUM,2000,23.5,33.125,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18
PRECTOTCORR_SUM,2000,23.5,33.75,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.27
PRECTOTCORR_SUM,2000,24.0,25.625,0.1,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.1
PRECTOTCORR_SUM,2000,24.0,26.25,0.12,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.57
PRECTOTCORR_SUM,2000,24.0,26.875,0.06,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.34
PRECTOTCORR_SUM,2000,24.0,27.5,0.01,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.63
PRECTOTCORR_SUM,2000,24.0,28.125,0.01,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.7
PRECTOTCORR_SUM,2000,24.0,28.75,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46
PRECTOTCORR_SUM,2000,24.0,29.375,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
PRECTOTCORR_SUM,2000,24.0,30.0,0.03,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.45
PRECTOTCORR_SUM,2000,24.0,30.625,0.02,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.25
PRECTOTCORR_SUM,2000,24.0,31.25,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.12
PRECTOTCORR_SUM,2000,24.0,31.875,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08
PRECTOTCORR_SUM,2000,24.0,32.5,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.23
PRECTOTCORR_SUM,2000,24.0,33.125,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.22
PRECTOTCORR_SUM,2000,24.0,33.75,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.25
PRECTOTCORR_SUM,2000,24.5,25.625,0.38,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.27
PRECTOTCORR_SUM,2000,24.5,26.25,0.38,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0
PRECTOTCORR_SUM,2000,24.5,26.875,0.6,0.47,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.35
PRECTOTCORR_SUM,2000,24.5,27.5,0.07,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.96
PRECTOTCORR_SUM,2000,24.5,28.125,0.17,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.74
PRECTOTCORR_SUM,2000,24.5,28.75,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
PRECTOTCORR_SUM,2000,24.5,29.375,0.01,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
PRECTOTCORR_SUM,2000,24.5,30.0,0.09,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03
PRECTOTCORR_SUM,2000,24.5,30.625,0.09,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76
PRECTOTCORR_SUM,2000,24.5,31.25,0.16,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.3
PRECTOTCORR_SUM,2000,24.5,31.875,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.29
PRECTOTCORR_SUM,2000,24.5,32.5,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.34
PRECTOTCORR_SUM,2000,24.5,33.125,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.39
PRECTOTCORR_SUM,2000,24.5,33.75,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.53
PRECTOTCORR_SUM,2000,25.0,25.625,1.39,0.69,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.51
PRECTOTCORR_SUM,2000,25.0,26.25,2.18,0.37,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,3.03
PRECTOTCORR_SUM,2000,25.0,26.875,2.06,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.8
PRECTOTCORR_SUM,2000,25.0,27.5,0.42,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.77
PRECTOTCORR_SUM,2000,25.0,28.125,0.47,0.75,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.32
PRECTOTCORR_SUM,2000,25.0,28.75,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31
PRECTOTCORR_SUM,2000,25.0,29.375,0.01,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53
PRECTOTCORR_SUM,2000,25.0,30.0,0.21,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
PRECTOTCORR_SUM,2000,25.0,30.625,0.14,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16
PRECTOTCORR_SUM,2000,25.0,31.25,0.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
PRECTOTCORR_SUM,2000,25.0,31.875,0.26,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.41
