-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,22.5,25.625,10.26,11.1,14.88,23.04,26.15,26.97,29.75,27.37,26.61,20.92,15.77,10.91,20.33
T2M,2000,22.5,26.25,10.66,11.45,15.17,23.48,26.42,27.79,30.64,28.44,27.13,21.06,16.29,11.52,20.86
T2M,2000,22.5,26.875,10.97,11.81,15.5,23.94,26.85,28.35,31.19,29.13,27.75,21.62,16.97,12.25,21.38
T2M,2000,22.5,27.5,11.44,12.53,16.21,24.62,27.59,29.17,31.96,29.9,28.62,22.42,17.82,13.11,22.14
T2M,2000,22.5,28.125,11.61,12.8,16.5,24.92,27.94,29.42,32.22,30.2,29.01,22.77,18.2,13.48,22.44
T2M,2000,22.5,28.75,12.02,13.27,16.92,25.32,28.49,29.86,32.66,30.68,29.56,23.23,18.63,13.86,22.9
T2M,2000,22.5,29.375,12.49,13.77,17.44,25.79,29.05,30.44,33.23,31.32,30.09,23.71,19.21,14.33,23.43
T2M,2000,22.5,30.0,13.09,14.37,18.02,26.4,29.73,31.0,33.82,32.0,30.7,24.25,19.88,14.93,24.04
T2M,2000,22.5,30.625,13.23,14.45,18.13,26.55,29.93,31.03,33.79,32.06,30.83,24.3,20.06,15.1,24.14
T2M,2000,22.5,31.25,13.9,15.1,18.66,26.93,30.65,31.46,34.21,32.6,31.36,24.86,20.74,15.72,24.7
T2M,2000,22.5,31.875,15.02,16.14,19.57,27.75,31.38,32.27,34.86,33.36,32.09,25.72,21.85,16.82,25.59
T2M,2000,22.5,32.5,14.76,15.88,19.32,27.51,31.31,32.5,34.96,33.58,32.08,25.69,21.75,16.62,25.52
T2M,2000,22.5,33.125,15.25,16.44,19.8,27.81,31.94,32.95,35.36,34.03,32.59,26.49,22.44,17.26,26.05
T2M,2000,22.5,33.75,16.16,17.54,20.65,28.54,32.61,33.77,35.99,34.9,33.26,27.7,23.18,18.31,26.9
T2M,2000,23.0,25.625,10.61,11.39,15.54,23.48,26.69,27.37,29.98,27.61,26.99,21.71,16.4,11.49,20.79
T2M,2000,23.0,26.25,9.97,10.77,14.51,22.84,25.73,26.93,29.75,27.39,26.3,20.49,15.69,10.91,20.13
T2M,2000,23.0,26.875,10.98,11.97,15.73,24.11,27.03,28.59,31.39,29.16,27.92,21.9,17.17,12.45,21.55
